InvoiceID,SalesLineID_nonEU,InvoiceDate,CustomerID,CustomerOrderCount,CustomerSegment,Country,MarketRegion,StockCode,Description,ProductCategory,ProductMaterial,ProductColor,UnitPrice_USD,SalesTax_Rate,ImportDuty_Rate,UnitPrice_Tax_USD,UnitPrice_Duty_USD,UnitPrice_Gross_USD,UnitCost_USD,CostAmount_USD,Shipping_Zone_nonEU,Shipping_Fee_nonEU,Currency,Quantity,CustomerType_nonEU,KYC_Level_nonEU,PreferredLanguage_nonEU,CustomerTenureDays_nonEU,LoyaltyScore_nonEU,HS_Code_nonEU,CountryOfOrigin_nonEU,Incoterms_nonEU,SalesTax_Amount_USD,ImportDuty_Amount_USD,CustomsFormRequired_nonEU,DeMinimisFlag_nonEU,Carrier_nonEU,EstimatedDeliveryDays_nonEU,ShippingInsurance_USD
540267,NE_LN_43138,2/18/25 22:23,12415,26,ACTIVE,Australia,nonEU,22519,CHILDS GARDEN BRUSH PINK,MISC,OTHER,PINK,1.85,0.1,0.03,0.19,0.06,2.1,1.02,36.72,APAC,0.0,USD,36,B2B,HIGH,EN,0,83,9999-50,CN,DAP,0.19,0.06,1,0,DHL,12,0.0
569650,NE_LN_348323,11/17/25 23:55,12415,26,ACTIVE,Australia,nonEU,22539,MINI JIGSAW DOLLY GIRL,MISC,OTHER,UNKNOWN,0.36,0.1,0.03,0.04,0.01,0.41,0.2,48.0,APAC,0.0,USD,240,B2B,HIGH,EN,272,83,9999-31,US,DAP,0.04,0.01,1,0,DHL,12,0.0
541520,NE_LN_59240,3/3/25 20:24,12422,2,NEW,Australia,nonEU,21936,RED RETROSPOT PICNIC BAG,BAG,OTHER,RED,2.95,0.1,0.03,0.3,0.09,3.34,1.62,8.1,APAC,19.99,USD,5,B2C,LOW,EN,0,18,4202-48,VN,DAP,0.3,0.09,1,0,DHL,12,0.0
576394,NE_LN_430140,12/28/25 21:43,12415,26,ACTIVE,Australia,nonEU,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,MISC,OTHER,UNKNOWN,1.45,0.1,0.03,0.14,0.04,1.63,0.8,38.4,APAC,0.0,USD,48,B2B,HIGH,EN,312,83,9999-32,EU,DAP,0.14,0.04,1,0,DHL,12,0.0
569722,NE_LN_349713,11/18/25 20:42,12431,16,ACTIVE,Australia,nonEU,22045,SPACEBOY GIFT WRAP,MISC,OTHER,UNKNOWN,0.42,0.1,0.03,0.04,0.01,0.47,0.23,5.75,APAC,12.99,USD,25,B2C,MED,EN,308,65,9999-62,EU,DAP,0.04,0.01,1,0,DHL,12,0.0
559919,NE_LN_242853,8/26/25 2:41,12415,26,ACTIVE,Australia,nonEU,23297,SET 40 HEART SHAPE PETIT FOUR CASES,MISC,OTHER,UNKNOWN,1.45,0.1,0.03,0.14,0.04,1.63,0.8,192.0,APAC,0.0,USD,240,B2B,HIGH,EN,188,83,9999-80,CN,DAP,0.14,0.04,1,0,DHL,12,0.0
569650,NE_LN_348295,11/17/25 23:55,12415,26,ACTIVE,Australia,nonEU,23013,GLASS APOTHECARY BOTTLE TONIC,MISC,GLASS,UNKNOWN,3.45,0.1,0.03,0.34,0.1,3.89,1.9,22.8,APAC,12.99,USD,12,B2B,HIGH,EN,272,83,9999-82,EU,DAP,0.34,0.1,1,0,DHL,12,0.0
C560540,NE_LN_249917,8/31/25 23:37,12415,26,ACTIVE,Australia,nonEU,21917,SET 12 KIDS  WHITE CHALK STICKS,MISC,OTHER,WHITE,0.42,0.1,0.03,0.04,0.01,0.47,0.23,-0.23,APAC,19.99,USD,-1,B2B,HIGH,EN,194,83,9999-94,IN,DAP,0.04,0.01,1,0,DHL,12,0.0
556917,NE_LN_211355,7/29/25 0:48,12415,26,ACTIVE,Australia,nonEU,23244,ROUND STORAGE TIN VINTAGE LEAF,MISC,OTHER,UNKNOWN,1.65,0.1,0.03,0.16,0.05,1.86,0.91,87.36,APAC,0.0,USD,96,B2B,HIGH,EN,160,83,9999-14,IN,DAP,0.16,0.05,1,0,DHL,12,0.0
560491,NE_LN_249454,8/31/25 22:02,12415,26,ACTIVE,Australia,nonEU,23159,SET OF 5 PANCAKE DAY MAGNETS,MISC,OTHER,UNKNOWN,2.08,0.1,0.03,0.21,0.06,2.35,1.14,1.14,APAC,19.99,USD,1,B2B,HIGH,EN,193,83,9999-62,EU,DAP,0.21,0.06,1,0,DHL,12,0.0
549313,NE_LN_139035,5/21/25 20:56,12393,4,NEW,Australia,nonEU,20726,LUNCH BAG WOODLAND,BAG,WOOD,UNKNOWN,1.65,0.1,0.03,0.16,0.05,1.86,0.91,9.1,APAC,12.99,USD,10,B2C,LOW,EN,86,25,4202-75,CN,DAP,0.16,0.05,1,0,DHL,12,0.0
547659,NE_LN_122704,5/7/25 0:16,12434,4,NEW,Australia,nonEU,48138,DOORMAT UNION FLAG,MISC,OTHER,UNKNOWN,7.95,0.1,0.03,0.8,0.24,8.99,4.37,8.74,APAC,19.99,USD,2,B2C,LOW,EN,100,23,9999-59,IN,DAP,0.8,0.24,1,0,DHL,12,0.0
560033,NE_LN_244046,8/27/25 0:39,12388,6,NEW,Australia,nonEU,84978,HANGING HEART JAR T-LIGHT HOLDER,LIGHTING,OTHER,UNKNOWN,1.25,0.1,0.03,0.12,0.04,1.41,0.69,8.28,APAC,12.99,USD,12,B2C,MED,EN,178,31,9405-35,CN,DAP,0.12,0.04,1,0,DHL,12,0.0
561040,NE_LN_255593,9/5/25 23:16,12431,16,ACTIVE,Australia,nonEU,22730,ALARM CLOCK BAKELIKE IVORY,MISC,OTHER,UNKNOWN,3.75,0.1,0.03,0.38,0.11,4.24,2.06,8.24,APAC,19.99,USD,4,B2C,MED,EN,235,65,9999-68,VN,DAP,0.38,0.11,1,0,DHL,12,0.0
556917,NE_LN_211457,7/29/25 0:48,12415,26,ACTIVE,Australia,nonEU,22360,GLASS JAR ENGLISH CONFECTIONERY,MISC,GLASS,UNKNOWN,2.55,0.1,0.03,0.26,0.08,2.89,1.4,134.4,APAC,0.0,USD,96,B2B,HIGH,EN,160,83,9999-44,IN,DAP,0.26,0.08,1,0,DHL,12,0.0
541271,NE_LN_55500,3/1/25 22:23,12388,6,NEW,Australia,nonEU,22722,SET OF 6 SPICE TINS PANTRY DESIGN,MISC,OTHER,UNKNOWN,3.95,0.1,0.03,0.4,0.12,4.47,2.17,26.04,APAC,12.99,USD,12,B2C,MED,EN,0,31,9999-93,VN,DAP,0.4,0.12,1,0,DHL,12,0.0
545475,NE_LN_100411,4/15/25 22:10,12415,26,ACTIVE,Australia,nonEU,22619,SET OF 6 SOLDIER SKITTLES,MISC,OTHER,UNKNOWN,3.39,0.1,0.03,0.34,0.1,3.83,1.86,148.8,APAC,0.0,USD,80,B2B,HIGH,EN,55,83,9999-39,IN,DAP,0.34,0.1,1,0,DHL,12,0.0
